Detailed Row-by-Row Analysis
==========================

Row 1: (22 products, 0 matches, 0.0% match rate)
    R1C1, 0.5360000133514404, NO
    R1C2, 0.5419999957084656, NO
    R1C3, 0.6169999837875366, NO
    R1C4, 0.5210000276565552, NO
    R1C5, 0.6800000071525574, NO
    R1C6, 0.6370000243186951, NO
    R1C7, 0.5509999990463257, NO
    R1C8, 0.574999988079071, NO
    R1C9, 0.5460000038146973, NO
    R1C10, 0.5400000214576721, NO
    R1C11, 0.5519999861717224, NO
    R1C12, 0.5400000214576721, NO
    R1C13, 0.5899999737739563, NO
    R1C14, 0.5849999785423279, NO
    R1C15, 0.6069999933242798, NO
    R1C16, 0.5789999961853027, NO
    R1C17, 0.5600000023841858, NO
    R1C18, 0.5699999928474426, NO
    R1C19, 0.5989999771118164, NO
    R1C20, 0.6190000176429749, NO
    R1C21, 0.6520000100135803, NO
    R1C22, 0.6200000047683716, NO

Row 2: (19 products, 6 matches, 31.6% match rate)
    R2C1, 0.7850000262260437, NO
    R2C2, 0.8040000200271606, NO
    R2C3, 0.7889999747276306, NO
    R2C4, 0.7950000166893005, NO
    R2C5, 0.8190000057220459, NO
    R2C6, 0.7960000038146973, NO
    R2C7, 0.7950000166893005, NO
    R2C8, 0.7730000019073486, NO
    R2C9, 0.8209999799728394, NO
    R2C10, 0.8140000104904175, NO
    R2C11, 0.8209999799728394, NO
    R2C12, 0.8109999895095825, NO
    R2C13, 0.7820000052452087, NO
    R2C14, 0.9150000214576721, YES
    R2C15, 0.9509999752044678, YES
    R2C16, 0.9449999928474426, YES
    R2C17, 0.9240000247955322, YES
    R2C18, 0.9490000009536743, YES
    R2C19, 0.9369999766349792, YES

Row 3: (23 products, 0 matches, 0.0% match rate)
    R3C1, 0.6959999799728394, NO
    R3C2, 0.7070000171661377, NO
    R3C3, 0.6919999718666077, NO
    R3C4, 0.7210000157356262, NO
    R3C5, 0.7089999914169312, NO
    R3C6, 0.7139999866485596, NO
    R3C7, 0.6830000281333923, NO
    R3C8, 0.7120000123977661, NO
    R3C9, 0.7110000252723694, NO
    R3C10, 0.6840000152587891, NO
    R3C11, 0.6800000071525574, NO
    R3C12, 0.7059999704360962, NO
    R3C13, 0.6930000185966492, NO
    R3C14, 0.7049999833106995, NO
    R3C15, 0.7170000076293945, NO
    R3C16, 0.7329999804496765, NO
    R3C17, 0.7160000205039978, NO
    R3C18, 0.7200000286102295, NO
    R3C19, 0.7229999899864197, NO
    R3C20, 0.7160000205039978, NO
    R3C21, 0.722000002861023, NO
    R3C22, 0.7129999995231628, NO
    R3C23, 0.6740000247955322, NO

Row 4: (4 products, 0 matches, 0.0% match rate)
    R4C1, 0.6240000128746033, NO
    R4C2, 0.6150000095367432, NO
    R4C3, 0.6460000276565552, NO
    R4C4, 0.6129999756813049, NO

Row 5: (5 products, 0 matches, 0.0% match rate)
    R5C1, 0.7620000243186951, NO
    R5C2, 0.6589999794960022, NO
    R5C3, 0.6909999847412109, NO
    R5C4, 0.7129999995231628, NO
    R5C5, 0.6499999761581421, NO

Row 6: (1 products, 0 matches, 0.0% match rate)
    R6C1, 0.6470000147819519, NO

Row 7: (6 products, 0 matches, 0.0% match rate)
    R7C1, 0.7789999842643738, NO
    R7C2, 0.7089999914169312, NO
    R7C3, 0.7139999866485596, NO
    R7C4, 0.6949999928474426, NO
    R7C5, 0.7039999961853027, NO
    R7C6, 0.7250000238418579, NO

Row 8: (5 products, 0 matches, 0.0% match rate)
    R8C1, 0.7710000276565552, NO
    R8C2, 0.6959999799728394, NO
    R8C3, 0.6140000224113464, NO
    R8C4, 0.6869999766349792, NO
    R8C5, 0.5989999771118164, NO

Overall Statistics:
Total products: 85
Total matches: 6
Overall match rate: 7.1%
